		GSM17378	GSM17379	GSM17380	GSM17381	GSM17382	GSM17383	GSM17384	GSM17385	GSM17386	GSM17387	GSM17388	GSM17389	GSM17390	GSM17391	GSM17392	GSM45690	GSM45691	GSM45692	GSM45693	GSM45706	GSM45707	GSM45708	GSM45709	GSM146345	GSM146346	GSM146347	GSM146348	GSM146349	GSM146350	GSM146351	GSM146352	GSM146353	GSM146354
Stam2	signal transducing adaptor molecule (SH3 domain and ITAM motif) 2	180.6	199.5	134.4	169.7	135.6	192.4	185.2	183.5	203.1	227.1	193.4	243.3	128.8	177.9	256.0	194.0	187.0	209.4	152.3	250.5	240.2	206.6	231.7	218.71985	198.00777	195.18405	231.15921	210.2022	218.85988	190.76906	178.45631	211.31955	214.55872
Lgi4	leucine-rich repeat LGI family, member 4	120.5	167.7	161.3	55.0	78.9	156.6	143.4	202.7	155.5	166.0	202.0	166.6	104.7	94.6	120.7	182.7	60.1	162.1	116.9	188.9	159.5	178.9	53.3	192.48949	133.36185	108.826675	116.20539	141.22556	72.321106	152.11758	189.55484	229.78868	162.70436
Gstp1	glutathione S-transferase, pi 1	8421.6	6960.0	7350.3	6377.4	6031.4	7872.8	5871.5	12689.6	13308.2	13398.2	13123.6	16524.9	11028.2	9850.4	11400.2	9538.2	11067.5	9760.9	10377.4	9950.8	13736.1	13677.0	14230.5	7802.113	7645.5845	7664.462	7627.525	8719.147	6125.0605	7853.895	7482.6714	7383.0933	6601.824
S100a9	S100 calcium binding protein A9 (calgranulin B)	90.5	42.5	17.8	22.1	49.6	19.3	55.1	44.2	51.8	21.6	22.8	85.0	61.8	26.8	19.5	46.8	33.3	53.9	63.6	21.2	30.8	35.4	29.2	29.468824	94.69075	62.319935	178.68117	365.62695	162.25499	59.213825	27.812712	34.01457	75.538124
Rad1	RAD1 homolog (S. pombe)	175.9	107.7	147.7	57.8	187.8	139.8	123.2	177.5	106.1	121.8	208.9	71.4	115.4	170.9	177.4	197.2	61.1	82.1	79.6	112.2	180.4	212.7	131.5	151.73659	181.53535	148.37932	139.64128	158.80574	210.29085	172.95245	140.75034	77.06335	177.37315
Sts	steroid sulfatase	24.6	252.5	316.9	42.2	82.2	123.3	144.3	283.8	429.6	257.8	303.4	71.0	38.9	81.1	232.7	114.8	209.2	217.2	84.7	261.1	286.2	33.0	155.0	193.15228	364.41452	255.72337	281.35382	776.4182	53.53685	118.10607	76.7994	50.016224	48.267757
Arhgap29	Rho GTPase activating protein 29	22.0	12.3	25.5	27.6	21.3	15.6	29.1	15.2	1.5	13.7	23.0	1.2	0.6	14.4	13.8	28.9	10.8	8.2	27.9	10.0	16.2	71.7	40.8	12.827147	2.2610986	12.115001	29.638754	8.590928	7.169369	43.312634	1.8099593	29.71602	5.3430347
Olfr1264	olfactory receptor 1264	139.4	242.6	210.2	162.8	186.6	145.1	112.6	107.5	128.6	148.0	141.1	157.0	107.6	135.2	101.1	125.2	155.5	179.8	147.6	162.1	282.7	151.8	197.0	166.71147	76.97074	149.29631	108.66076	124.05104	169.69257	153.6381	89.97019	195.34154	172.46803
Trap1a	tumor rejection antigen P1A	86.4	112.9	94.9	130.0	117.8	40.2	107.3	60.9	98.7	99.8	64.8	24.7	51.2	110.6	66.8	120.9	153.4	81.0	133.3	78.1	27.5	57.2	42.6	78.663864	63.488323	70.589035	98.455086	27.327076	62.764446	76.44041	133.34009	44.505	22.36638
Pxmp3	peroxisomal membrane protein 3	583.6	652.6	607.3	471.6	461.8	592.7	695.2	433.3	497.1	485.6	621.2	948.3	1248.0	377.3	694.9	544.8	534.1	524.5	448.0	751.8	938.6	697.2	922.2	656.4602	694.78424	636.28455	688.94257	714.71204	796.7488	651.8892	664.9122	810.2765	692.268
Tssk2	testis-specific serine kinase 2	22.0	48.8	28.1	34.2	26.6	116.0	22.1	34.3	96.0	34.7	34.8	50.4	65.6	37.0	20.3	29.1	36.4	22.5	33.9	43.8	117.7	35.1	38.6	106.596245	31.48418	43.232086	15.696251	69.94531	69.95038	51.886463	117.15565	22.582058	18.32408
Ublcp1	ubiquitin-like domain containing CTD phosphatase 1	294.8	306.5	323.2	319.1	265.5	307.3	312.6	396.2	323.8	368.7	342.6	363.8	620.1	330.7	346.4	317.1	325.0	409.5	272.0	445.8	355.7	502.4	371.6	405.77628	453.32452	389.14954	408.36902	391.9471	403.10278	381.12857	382.99707	354.70282	411.10577
Esx1	extraembryonic, spermatogenesis, homeobox 1	6.9	35.6	34.9	40.6	53.3	25.2	41.3	33.7	16.9	7.0	6.3	3.0	3.0	5.3	16.6	28.9	28.2	7.3	30.4	13.3	11.0	23.9	19.0	38.50615	29.442116	23.666645	28.59448	25.908201	33.544895	35.63743	28.508327	38.236954	39.33894
Slc30a1	solute carrier family 30 (zinc transporter), member 1	93.9	93.9	153.5	169.1	153.3	141.7	152.1	163.0	116.5	142.4	151.1	166.6	182.8	152.6	121.5	151.5	155.5	159.8	176.5	126.7	119.5	95.8	111.5	236.4767	49.390217	203.67674	258.5296	63.34542	129.99353	259.53128	188.66591	72.98449	103.61198
Foxd4	forkhead box D4	26.3	19.4	25.4	33.1	92.0	27.0	23.8	29.1	23.4	5.6	37.6	6.2	16.0	23.1	19.2	33.3	26.5	28.4	35.2	29.2	33.4	23.8	36.8	20.420565	14.063296	70.35948	24.30903	10.255423	26.616196	22.0605	21.231236	22.616224	13.235497
Gria1	glutamate receptor, ionotropic, AMPA1 (alpha 1)	32.55	65.8	31.4	65.7	46.7	53.25	31.9	18.0	44.9	35.85	35.0	54.05	16.95	57.6	26.3	48.25	42.35	42.5	58.45	65.95	55.55	24.4	49.95	36.055992	34.07201	27.288588	41.297604	35.197933	44.51613	19.58747	61.14407	28.878876	50.12541
Creb1	cAMP responsive element binding protein 1	43.5	36.1	62.233334	74.7	94.566666	66.46667	39.9	39.366665	70.7	63.833332	62.6	64.333336	40.666668	98.73333	74.13333	46.533333	64.13333	56.133335	45.033333	77.63333	54.6	67.76667	72.23333	73.16798	52.626667	58.158577	75.48534	64.31344	78.588936	52.03258	67.503235	80.5043	51.487553
Slc5a11	solute carrier family 5 (sodium/glucose cotransporter), member 11	52.0	48.3	54.3	66.4	43.6	52.1	67.3	53.5	55.4	49.5	55.6	65.2	29.8	68.3	45.1	40.2	68.1	53.3	54.0	52.7	79.3	43.1	83.1	59.813885	44.62907	54.46308	57.5861	64.95121	53.117523	62.207027	370.02835	74.28854	58.46664
Adam28	a disintegrin and metallopeptidase domain 28	61.4	47.9	48.9	47.1	56.6	63.6	39.1	51.2	184.2	54.1	228.2	312.4	252.4	44.0	37.6	50.1	49.0	43.5	61.3	100.7	53.6	66.2	53.1	91.30768	71.847984	79.4022	37.271744	72.80382	66.600624	86.80032	96.45991	56.84613	22.48715
Mapk8ip3	mitogen-activated protein kinase 8 interacting protein 3	214.6	196.5	169.7	207.0	211.6	182.3	218.3	362.9	195.1	255.3	309.4	244.1	130.2	210.2	200.6	165.2	178.6	249.9	129.8	180.3	244.7	245.3	213.3	152.13657	115.065346	158.42586	158.39774	249.38327	209.69022	247.5211	214.40501	262.50854	205.8714
Rab3ip	RAB3A interacting protein	313.1	252.25	300.75	271.95	270.25	231.65	319.1	263.95	273.95	238.2	312.65	356.0	212.55	333.6	275.45	259.25	250.45	273.3	244.35	296.4	333.6	302.35	342.85	239.29187	258.24094	278.50403	332.9224	232.088	270.3921	314.20016	306.16724	300.45123	263.04047
Es2el	expressed sequence 2 embryonic lethal	141.1	143.4	96.2	169.8	102.5	94.2	111.5	141.5	104.0	104.8	150.8	118.0	90.6	100.4	117.0	170.7	25.4	102.2	175.4	108.6	59.6	76.6	148.4	112.86993	93.38986	84.42383	76.605225	99.91663	99.89332	107.36752	159.16829	110.29615	100.40603
Jph3	junctophilin 3	63.9	44.4	85.4	54.1	80.9	12.2	42.6	57.6	52.2	54.5	73.5	137.1	24.6	27.3	53.1	40.1	33.2	37.6	87.8	66.3	163.5	40.4	61.5	251.33867	36.426003	55.801884	51.79432	154.91226	50.387047	60.780804	43.090466	53.9167	34.46674
Slfn3	schlafen 3///schlafen 4	19.7	24.5	9.5	20.3	2.0	11.2	2.1	19.4	29.7	1.7	16.6	3.2	15.0	5.8	24.7	13.7	26.1	0.9	16.8	18.9	13.4	29.6	50.0	18.304932	3.643609	10.28311	5.722365	12.914796	16.861784	33.405025	20.987362	13.654123	14.506351
Anxa10	annexin A10	28.8	3.3	4.1	14.4	7.3	9.7	6.6	7.9	6.2	4.7	3.9	18.1	5.4	10.0	7.3	5.0	7.1	6.0	11.4	10.0	3.8	5.2	5.3	13.523727	14.977722	4.622397	3.8147411	29.225336	38.906376	5.580792	13.237609	57.94644	9.946345
Slfn1	schlafen 1	113.8	102.6	75.9	117.1	123.5	81.1	97.1	72.6	91.1	81.5	112.0	123.1	60.9	96.5	92.7	66.6	109.8	76.5	121.0	113.0	99.4	80.5	155.8	158.98116	13.344421	31.15891	94.54235	76.02868	140.5646	145.0303	113.82997	202.03845	51.334866
Cd52	CD52 antigen	297.8	246.2	144.1	209.4	262.6	306.2	257.5	236.2	215.1	203.8	245.9	82.2	243.8	190.5	205.5	168.7	189.9	310.8	204.9	201.2	159.3	192.1	154.8	233.12814	395.36853	260.00485	183.64415	272.16855	133.75696	159.82425	135.28485	38.262383	126.055016
Ddx21	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21	261.2	169.6	245.7	225.7	299.6	186.4	289.9	226.2	252.4	293.4	275.2	192.8	214.1	216.3	241.4	212.9	228.8	235.5	274.7	298.2	226.6	243.0	228.8	309.01984	234.43127	257.48706	286.3875	271.20447	186.25624	317.93555	181.59082	283.33615	258.29843
Csf1	colony stimulating factor 1 (macrophage)	558.7	407.4	325.0	325.0	343.9	332.2	406.9	352.9	306.7	255.3	376.4	233.7	304.7	231.3	229.2	250.8	317.0	345.6	335.2	273.9	276.6	235.3	284.4	333.87302	267.46326	313.77167	370.56363	411.05624	289.41916	304.48343	330.45682	293.10397	329.48056
Ssr1	signal sequence receptor, alpha	380.7	465.9	305.05	377.0	281.1	502.2	343.25	224.25	218.05	232.45	282.6	221.05	96.45	440.1	488.35	401.95	357.3	318.25	315.0	299.65	287.35	325.75	341.1	297.52945	270.4979	277.83932	244.47443	205.21088	372.4719	347.47702	291.38525	350.91843	388.86627
Bsn	bassoon	27.6	22.5	31.6	14.4	43.5	20.1	13.2	27.3	22.3	17.1	30.8	23.4	25.4	18.9	21.9	20.8	30.4	21.8	24.6	31.0	42.0	16.0	47.2	31.601734	10.686714	11.845611	22.377407	18.373318	15.533998	28.503057	37.695374	114.47878	29.463919
Rab3d	RAB3D, member RAS oncogene family	253.5	293.5	116.4	124.5	213.0	234.7	192.4	415.1	420.5	456.7	319.9	279.8	162.4	240.0	353.9	277.3	146.8	284.7	487.0	274.4	259.2	208.4	170.5	317.64297	262.33505	319.40576	252.53171	281.5925	200.66827	265.11346	214.30682	223.2991	267.42694
Krt20	keratin 20	17.5	149.1	133.4	78.8	22.0	21.4	111.5	55.5	372.5	73.5	110.8	81.8	18.2	123.5	106.5	140.3	132.3	99.6	102.2	31.4	101.5	103.2	156.1	132.85448	57.90508	78.87641	40.644154	87.52911	135.08186	43.842697	109.32856	242.12628	43.730232
Tmem37	transmembrane protein 37	1234.0	1304.6	969.05	1193.55	1348.55	1494.5	1074.4	945.2	989.5	988.45	958.65	970.65	392.15	1110.0	911.9	984.05	1013.8	813.9	864.4	1520.25	1337.75	1179.25	1396.25	1343.7737	875.48193	792.8757	1343.9827	855.4396	706.7684	751.165	696.13495	847.4758	904.95404
Krt27	keratin 27	27.2	15.7	45.2	42.3	16.8	15.9	25.5	33.4	61.4	16.3	39.1	12.5	16.4	65.9	7.5	40.1	47.1	31.5	16.0	26.9	22.9	23.1	44.1	33.437626	583.7592	17.082273	25.923265	116.81175	22.38335	25.479576	29.24819	12.397383	23.536049
Pvrl3	poliovirus receptor-related 3	50.4	66.25	62.3	100.05	77.1	100.25	90.3	63.65	36.65	78.9	89.25	63.45	102.3	61.8	67.95	62.25	73.7	47.15	92.3	52.4	72.55	51.1	72.45	85.09932	117.64693	100.5115	78.87491	88.059364	64.92249	54.58283	62.045506	77.763275	110.62517
Nkx2-9	NK2 transcription factor related, locus 9 (Drosophila)	36.8	45.6	35.9	47.2	44.4	24.2	62.7	46.4	48.4	47.3	19.5	29.4	25.0	25.6	120.5	53.9	38.0	47.9	45.8	49.4	26.6	65.6	34.9	36.96107	24.225578	36.053272	36.178425	33.674305	33.29731	43.230198	41.045868	39.721893	43.60756
Gtpbp2	GTP binding protein 2	813.8	568.8	551.4	590.6	597.9	712.8	639.2	903.9	731.5	724.1	848.6	956.4	487.3	769.6	611.3	655.5	785.1	458.9	688.8	686.0	551.5	638.5	560.7	690.7313	662.517	661.98114	706.7943	619.4547	917.0385	704.98883	715.409	789.9641	812.6123
Gpr37	G protein-coupled receptor 37	23.7	21.2	43.2	24.2	34.7	43.0	12.5	14.5	24.5	34.3	30.9	5.6	10.4	41.1	27.4	21.1	34.1	14.5	36.4	12.7	24.7	43.6	54.5	17.443245	24.648756	13.9534	11.661627	4.943838	9.691456	10.71993	17.145542	15.031962	65.72874
Gpr83	G protein-coupled receptor 83	12.3	26.0	7.6	15.4	43.8	41.1	47.9	3.4	4.7	31.6	6.4	35.4	7.2	11.8	44.1	19.9	8.2	4.2	31.9	11.6	59.3	52.2	8.6	37.632397	30.46946	11.792389	21.353333	23.030186	34.868534	19.401304	12.768078	19.441092	17.539768
Birc5	baculoviral IAP repeat-containing 5	53.7	36.9	14.6	94.2	44.0	13.4	50.0	53.0	18.1	52.3	32.5	98.3	7.6	44.0	39.7	70.1	53.1	15.3	54.0	62.2	80.1	50.2	54.0	87.353645	69.20579	13.075949	10.527633	27.370161	21.791851	63.52226	21.809305	19.618196	100.53058
Cry1	cryptochrome 1 (photolyase-like)	134.7	120.7	89.833336	120.23333	107.666664	80.6	132.03334	107.63333	105.0	151.93333	120.5	206.3	198.26666	144.36667	105.433334	78.23333	55.066666	121.2	94.166664	213.13333	168.8	189.1	198.46666	130.95618	160.94296	155.28526	167.37302	110.4614	115.77954	172.05855	87.75778	113.7648	210.63226
0610016J10Rik	RIKEN cDNA 0610016J10 gene	493.3	365.8	416.7	414.4	581.3	748.0	666.8	630.8	613.1	750.4	667.3	585.0	353.3	608.3	535.0	575.1	493.6	528.5	407.1	567.4	577.0	738.6	592.3	531.271	592.4894	557.08966	463.30356	593.5369	578.08673	464.12695	508.82025	554.30524	430.54184
F2rl1	coagulation factor II (thrombin) receptor-like 1	54.6	78.6	116.9	308.1	76.1	99.2	24.2	138.9	99.1	18.0	103.4	33.5	153.5	173.3	49.1	87.4	33.7	30.7	128.1	116.5	192.2	25.7	33.4	50.839664	172.48456	124.62383	47.557236	28.214863	121.242516	46.437107	35.20572	121.639145	41.070374
Lrba	LPS-responsive beige-like anchor	522.3	532.7	560.6	483.1	417.7	538.1	608.3	487.9	533.7	531.6	500.1	423.2	608.5	435.1	491.6	510.6	541.2	580.5	590.6	452.5	456.8	488.3	442.0	552.88367	521.8555	427.51636	684.6605	538.93353	464.3573	664.5578	542.6317	434.75522	465.76904
Usp4	ubiquitin specific peptidase 4 (proto-oncogene)	744.6	682.35	674.7	651.5	597.9	829.2	693.45	690.05	652.95	639.15	734.75	775.8	820.35	642.8	528.45	692.5	543.0	764.95	802.5	546.0	672.15	576.5	748.5	542.9754	429.24136	602.74475	587.6814	494.31067	831.1879	630.18866	1010.22284	969.59937	750.4765
Ghrhr	growth hormone releasing hormone receptor	222.6	282.9	250.8	280.6	317.0	226.6	227.6	276.0	274.9	251.7	200.8	371.1	172.3	285.5	215.8	383.8	257.1	235.2	242.2	222.0	250.0	267.6	257.5	307.23688	223.32335	221.03253	244.49113	369.22333	35.063347	242.8744	317.1294	247.29927	299.62854
Olfr1507	olfactory receptor 1507///olfactory receptor 1508	46.3	39.2	37.75	48.4	52.35	39.65	51.1	38.65	28.8	19.15	32.0	45.45	27.75	29.15	37.6	20.0	41.1	49.7	30.25	18.25	26.5	34.45	37.6	16.830517	12.244112	10.077242	17.937012	13.063978	24.07286	20.856283	103.31873	11.383165	24.319752
Melk	maternal embryonic leucine zipper kinase	7.3	7.4	10.6	28.2	35.3	14.3	7.1	12.9	11.0	2.9	9.9	12.5	11.4	76.5	7.1	11.0	14.1	7.2	9.6	11.9	16.3	11.3	16.4	5.013068	3.8519423	2.175793	5.196101	8.932506	6.5053315	6.2641144	3.7178683	7.285476	5.4754705
Ylpm1	YLP motif containing 1	469.0	359.3	382.5	393.6	437.1	434.2	481.4	386.6	374.8	376.8	363.2	567.7	437.2	490.1	405.5	418.6	477.2	447.4	455.7	519.0	454.9	426.9	390.2	573.2919	409.12335	404.5379	398.76666	426.56274	285.8789	262.94983	294.77145	393.11514	617.9921
Mki67ip	Mki67 (FHA domain) interacting nucleolar phosphoprotein	262.3	172.8	250.4	182.7	218.8	235.8	245.5	182.1	193.4	154.1	164.8	174.0	449.6	183.4	172.7	247.6	209.3	264.5	229.9	94.0	120.7	96.9	94.1	64.569145	251.28198	184.62665	208.23364	178.92375	348.10748	349.52426	313.09796	206.36353	223.67542
Nr1d1	nuclear receptor subfamily 1, group D, member 1	628.9	715.5	789.5	644.1	681.7	1134.8	573.4	1227.4	873.2	925.5	914.7	797.2	767.6	1175.3	1296.3	1007.3	1439.5	838.3	919.6	812.1	787.6	766.2	857.0	1189.4124	1219.5936	1311.5645	641.439	646.1548	1488.3274	1528.3745	553.2199	716.97565	620.7712
Calr4	calreticulin 4	61.1	44.1	53.9	21.3	21.4	22.9	12.2	17.3	29.2	13.5	16.1	22.8	14.4	29.9	53.8	35.2	28.1	17.6	38.8	9.8	20.4	39.4	85.1	15.489924	30.791327	10.539331	11.881214	117.1786	118.65528	17.640196	42.136612	78.59406	39.522346
Nkx6-2	NK6 transcription factor related, locus 2 (Drosophila)	29.7	21.6	14.6	20.0	39.5	26.2	16.4	13.0	26.7	18.5	31.1	15.9	10.6	22.1	21.9	36.1	15.0	23.6	38.0	24.6	23.7	22.9	28.7	57.832718	21.587862	25.820461	24.85473	30.937044	15.726682	17.354565	105.61736	87.49644	23.90499
Olfr1508	olfactory receptor 1508	28.1	32.9	34.0	46.5	42.9	44.8	33.8	39.1	39.4	42.7	58.8	34.7	26.6	49.8	33.4	24.0	43.1	44.1	37.7	36.6	39.4	41.8	36.5	51.83322	26.490343	29.800129	40.436287	58.531364	73.87253	65.44435	302.13568	45.104492	112.35241
Nme4	expressed in non-metastatic cells 4, protein	117.7	92.3	80.8	112.4	43.9	81.0	43.3	51.8	82.6	75.9	86.7	74.3	98.3	24.4	80.9	54.9	81.5	68.4	73.4	88.5	74.2	67.2	107.8	15.6772995	132.84595	110.213585	214.02988	52.457523	90.43629	42.817364	172.51874	173.716	18.55794
Marco	macrophage receptor with collagenous structure	11.5	11.4	9.7	11.6	7.6	68.3	10.5	11.3	27.4	14.3	18.3	27.4	11.1	13.6	10.0	15.6	15.5	10.5	13.8	14.2	16.3	10.7	10.3	19.552744	15.222547	24.18343	16.72461	19.280983	13.913732	27.291458	26.705423	10.783617	96.56312
Tbp	TATA box binding protein	107.6	25.6	51.0	53.0	34.6	122.6	148.6	135.8	155.9	114.9	188.8	207.0	223.4	141.5	182.1	96.1	87.0	55.9	83.7	108.8	127.5	58.8	148.8	155.28555	135.82635	157.54523	142.71095	111.32479	163.88126	159.95337	161.61423	139.7066	163.59157
Dmkn	dermokine	57.5	50.4	59.0	75.6	97.5	47.3	58.2	57.3	82.4	30.4	67.9	62.2	18.0	103.1	28.8	93.0	66.1	42.6	60.3	18.6	62.2	30.7	83.4	146.93857	1453.2422	1627.879	109.518425	105.24057	65.165924	95.24585	120.02787	151.64342	119.1027
Pou2f3	POU domain, class 2, transcription factor 3	216.4	184.1	259.7	298.5	319.5	210.7	245.4	118.2	231.1	199.0	193.1	230.5	201.4	254.6	215.2	183.6	254.4	225.6	214.5	215.5	316.5	206.7	255.4	325.77292	154.09428	219.49875	306.01334	184.31683	264.965	270.89355	201.1366	311.94302	386.8892
C81600	expressed sequence C81600	20.4	21.4	83.0	32.2	34.6	25.3	40.1	30.3	40.9	24.8	81.0	22.9	52.4	60.0	21.7	27.9	31.1	24.1	22.7	24.5	25.8	59.0	31.5	50.307503	48.03387	72.43077	24.72423	49.772438	51.39641	40.082027	91.31259	37.712654	41.172096
Stard3	START domain containing 3	409.2	452.45	416.5	416.2	464.25	432.8	432.5	431.7	425.65	480.7	425.05	446.9	276.5	444.9	439.55	403.5	451.8	376.55	411.2	487.05	475.8	456.5	465.25	576.52985	635.785	508.05368	432.20425	619.82874	1058.5172	616.26306	359.371	308.6676	294.96997
Atf1	activating transcription factor 1	611.5	423.1	551.0	486.4	486.5	683.1	637.2	564.1	394.5	377.8	756.1	525.0	865.9	618.7	590.8	546.0	520.5	766.1	488.1	432.5	569.5	618.6	621.1	564.57526	760.45276	815.19385	788.44037	547.2632	445.97266	678.1583	486.09277	398.54327	741.15485
Bcas3	breast carcinoma amplified sequence 3	229.5	103.5	191.6	214.4	169.8	192.9	142.6	139.0	165.9	179.4	174.1	290.2	144.0	128.1	193.3	106.0	154.2	145.4	175.2	207.7	234.2	64.2	151.2	178.15985	173.7213	133.35318	170.76582	178.57272	217.31529	271.15347	253.45775	230.61578	235.50018
Gzme	granzyme E	10.8	18.4	16.3	24.3	21.3	26.1	23.6	66.8	12.5	22.3	22.3	13.1	10.3	27.1	22.0	12.1	20.8	30.8	23.7	19.5	12.6	7.3	16.6	38.546925	4.495483	29.129045	24.348297	14.174731	27.261257	29.485678	32.05346	50.046227	23.08798
Gzmf	granzyme F	7.1	31.1	23.6	10.0	4.2	4.4	15.1	7.1	4.1	8.4	30.8	9.6	8.4	11.3	8.6	6.7	20.3	15.4	8.5	3.5	32.8	4.2	44.7	31.691946	7.1034307	11.040598	11.698988	17.114723	0.8886375	18.788952	12.595709	9.206097	17.647146
1810015C04Rik	RIKEN cDNA 1810015C04 gene	2611.3	2892.4	2742.9	2404.3	2810.3	3729.6	2316.2	3162.6	2491.5	3051.2	3753.5	6685.7	4253.5	3516.1	3147.7	2472.1	3466.4	2750.0	3134.1	2796.1	2643.6	2348.8	2793.8	3972.6936	3215.6292	3497.918	4901.803	4053.5337	2318.5747	2515.7979	3434.9246	3436.4626	3858.2766
Gzmb	granzyme B	20.1	74.9	33.3	138.7	94.5	21.0	142.1	61.0	99.8	67.9	65.3	118.5	125.5	51.8	117.9	24.2	55.6	98.9	25.2	57.8	139.3	68.3	123.3	46.215004	23.02904	101.31523	33.478474	191.14804	37.13938	27.658121	52.071747	30.554266	40.600082
Creld2	cysteine-rich with EGF-like domains 2	442.2	434.5	364.1	237.4	354.4	626.3	422.5	212.1	239.4	210.7	270.9	303.4	229.5	267.2	255.5	341.4	425.6	390.3	435.8	259.4	273.8	348.1	232.9	170.83163	203.90678	156.0088	395.68588	249.61214	202.54024	251.03592	254.02295	346.66092	379.97684
Thbs3	thrombospondin 3	53.5	218.7	27.8	112.9	163.9	30.1	130.3	46.4	31.5	137.7	25.6	29.0	138.8	120.6	162.8	109.2	96.2	151.4	176.7	147.2	34.8	181.4	35.1	123.093376	90.67262	156.31439	103.65977	162.13516	157.11505	137.08505	63.835926	36.004707	112.251
H2-Ea	histocompatibility 2, class II antigen E alpha	48.8	56.0	64.5	15.1	77.5	47.8	27.7	34.5	30.0	34.3	26.4	17.9	8.5	43.4	11.4	29.0	8.1	72.9	13.5	36.6	9.2	47.0	47.7	44.064323	69.73957	39.10343	36.06338	40.240044	34.438164	52.414852	44.192894	37.224342	67.92356
Flcn	folliculin	369.8	396.3	368.7	410.7	420.5	547.4	403.2	570.8	469.9	601.3	617.7	846.9	406.9	507.7	499.6	483.2	418.9	413.9	395.7	528.9	452.1	477.0	451.4	404.97223	498.79416	514.9277	441.1562	376.3867	492.59357	697.44366	603.7232	676.92267	994.98016
Apcdd1	adenomatosis polyposis coli down-regulated 1	114.8	113.2	90.9	116.4	130.4	158.0	93.3	87.6	65.1	102.1	20.6	35.0	106.4	35.2	20.3	20.7	135.1	29.4	28.9	178.1	115.3	48.4	164.2	141.38576	298.29144	173.30357	82.78045	63.11197	42.400536	36.487125	80.169525	79.32761	77.872475
Ing1	inhibitor of growth family, member 1	410.4	359.4	315.8	405.9	304.1	273.6	275.0	349.3	389.4	460.7	399.6	308.2	145.8	397.4	243.9	391.2	361.7	280.5	328.7	367.1	397.3	417.8	423.8	405.45584	369.43365	247.64464	368.4603	375.73907	336.23642	209.73567	402.9712	277.82285	267.46097
Akr1c21	aldo-keto reductase family 1, member C21	115.0	19.8	33.8	31.3	14.2	118.5	106.5	86.9	125.4	111.6	33.5	125.7	18.6	62.3	22.7	63.5	142.5	31.7	90.8	75.2	117.8	33.8	20.8	170.61717	92.85209	42.14725	114.585304	45.627056	43.78062	44.77565	292.66998	372.3034	58.56044
Zdhhc6	zinc finger, DHHC domain containing 6	412.93332	450.36667	446.96667	394.03333	364.53333	375.5	410.06668	363.93332	362.36667	428.1	323.5	366.83334	386.6	308.3	381.2	461.43332	408.46667	331.56668	408.8	347.63333	424.6	350.43332	411.56668	567.92975	236.65385	433.72244	483.44254	377.67993	121.750595	157.86772	441.22604	445.10266	473.2316
Dock2	dedicator of cyto-kinesis 2	40.5	36.9	55.8	33.0	40.5	63.1	42.6	44.2	41.0	24.2	53.4	7.3	62.8	15.8	38.5	45.4	27.8	38.5	24.3	57.8	44.4	30.5	3.8	37.09994	107.18913	131.65775	31.153803	27.224335	40.112553	18.297113	155.99141	28.613874	30.816767
Prl	prolactin	131.1	64.5	38.1	197.0	38.1	173.7	43.8	196.4	78.3	104.7	187.1	141.6	88.4	94.1	26.2	50.8	218.1	94.7	148.4	166.4	292.8	46.8	191.2	186.12862	92.18107	212.70062	203.65216	42.999985	60.79163	176.39772	59.204468	95.709335	81.66046
Rad51l3	RAD51-like 3 (S. cerevisiae)	132.3	171.8	165.1	128.2	192.3	168.7	155.3	162.3	106.5	123.5	160.2	113.0	96.6	157.7	130.0	96.0	133.6	117.7	165.6	209.0	132.3	127.0	163.6	125.74201	125.70038	104.12691	111.79781	122.86159	166.12169	136.36101	185.1898	233.52945	230.1936
Mcpt1	mast cell protease 1	16.0	28.5	30.6	27.9	45.05	29.2	19.2	58.8	36.65	41.15	28.55	42.95	32.0	23.6	42.65	30.6	41.7	30.85	21.9	40.75	25.4	30.3	31.8	24.919523	58.187626	18.269356	7.272596	32.916775	5.2305446	89.50272	41.242134	118.87933	34.772743
Chi3l1	chitinase 3-like 1	5.7	6.3	4.8	9.2	9.3	9.0	6.9	12.1	19.9	5.1	5.7	7.4	7.2	23.5	4.0	13.6	10.5	7.5	8.4	3.8	16.9	6.6	14.0	12.595799	14.647329	11.633423	15.044665	42.48881	39.12166	140.1605	15.403799	23.863445	34.1985
Cst7	cystatin F (leukocystatin)	26.2	30.5	36.2	25.9	29.4	25.4	23.6	18.7	21.1	28.9	30.9	13.3	29.2	25.7	36.8	26.9	41.9	28.1	19.8	18.2	90.2	26.4	27.1	70.19705	15.171655	20.715279	22.403086	28.203468	34.60293	19.915606	18.260677	31.64831	31.078537
Fubp1	far upstream element (FUSE) binding protein 1	105.26667	99.2	78.6	91.63333	96.53333	104.96667	114.03333	131.43333	102.2	104.9	111.36667	123.46667	170.03334	113.26667	125.13333	113.73333	83.13333	109.13333	129.33333	76.53333	92.433334	104.3	91.833336	86.12833	94.22534	109.457855	88.1811	100.26398	112.21113	109.44452	116.216385	152.37721	124.92816
